Skill	Eval	Mode	Overall Result	Time	Total Tokens	Input Tokens	Output Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration	Workspace_Iteration
co-marketing	eval-4	with_skill	FAIL	13.4s	3346	2174	1171	3	FAIL	Weights by goal	Weights by criteria, not goal	4	8	iteration-517
co-marketing	eval-4	with_skill	FAIL	13.4s	3346	2174	1171	4	PASS			4	8	iteration-517
co-marketing	eval-4	with_skill	FAIL	13.4s	3346	2174	1171	5	PASS			4	8	iteration-517
co-marketing	eval-5	with_skill	FAIL	21.3s	3844	2498	1345	1	PASS			5	8	iteration-517
co-marketing	eval-5	with_skill	FAIL	21.3s	3844	2498	1345	2	PASS			5	8	iteration-517
co-marketing	eval-5	with_skill	FAIL	21.3s	3844	2498	1345	3	PASS			5	8	iteration-517
co-marketing	eval-5	with_skill	FAIL	21.3s	3844	2498	1345	4	FAIL	Mentions measuring lead quality not just volume	No mention of measuring lead quality.	5	8	iteration-517
co-marketing	eval-5	with_skill	FAIL	21.3s	3844	2498	1345	5	FAIL	Recommends post-campaign debrief	No mention of debrief	5	8	iteration-517
co-marketing	eval-6	with_skill	FAIL	11.1s	3184	2069	1114	1	PASS			6	8	iteration-517
co-marketing	eval-6	with_skill	FAIL	11.1s	3184	2069	1114	2	PASS			6	8	iteration-517
co-marketing	eval-6	with_skill	FAIL	11.1s	3184	2069	1114	3	PASS			6	8	iteration-517
co-marketing	eval-6	with_skill	FAIL	11.1s	3184	2069	1114	4	PASS			6	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	2	PASS			1	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	3	PASS			1	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	4	PASS			1	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	5	PASS			1	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	20.4s	3755	2440	1314	6	PASS			1	9	iteration-518
co-marketing	eval-2	with_skill	FAIL	15.1s	3487	2266	1220	1	PASS			2	9	iteration-518
co-marketing	eval-2	with_skill	FAIL	15.1s	3487	2266	1220	2	FAIL	Proposes campaigns across multiple types (content, events, integration, community)	Missing community campaign type	2	9	iteration-518
co-marketing	eval-2	with_skill	FAIL	15.1s	3487	2266	1220	3	PASS			2	9	iteration-518
co-marketing	eval-2	with_skill	FAIL	15.1s	3487	2266	1220	4	PASS			2	9	iteration-518
co-marketing	eval-2	with_skill	FAIL	15.1s	3487	2266	1220	5	FAIL	Uses brainstorming prompts	No brainstorming prompts used	2	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	1	PASS			3	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	2	PASS			3	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	3	PASS			3	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	4	PASS			3	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	5	PASS			3	9	iteration-518
co-marketing	eval-3	with_skill	FAIL	7.6s	3006	1953	1052	6	PASS			3	9	iteration-518
co-marketing	eval-4	with_skill	FAIL	13.0s	3339	2170	1168	1	PASS			4	9	iteration-518
co-marketing	eval-4	with_skill	FAIL	13.0s	3339	2170	1168	2	FAIL	Includes all 6 scoring dimensions	Only 4 dimensions listed in matrix	4	9	iteration-518
co-marketing	eval-4	with_skill	FAIL	13.0s	3339	2170	1168	3	FAIL	Weights by goal	No weights or scoring values provided	4	9	iteration-518
co-marketing	eval-4	with_skill	FAIL	13.0s	3339	2170	1168	4	PASS			4	9	iteration-518
co-marketing	eval-4	with_skill	FAIL	13.0s	3339	2170	1168	5	FAIL	Recommends starting with low-effort format	No mention of low-effort format	4	9	iteration-518
co-marketing	eval-5	with_skill	FAIL	21.5s	3824	2485	1338	1	PASS			5	9	iteration-518
co-marketing	eval-5	with_skill	FAIL	21.5s	3824	2485	1338	2	PASS			5	9	iteration-518
co-marketing	eval-5	with_skill	FAIL	21.5s	3824	2485	1338	3	PASS			5	9	iteration-518
co-marketing	eval-5	with_skill	FAIL	21.5s	3824	2485	1338	4	PASS			5	9	iteration-518
co-marketing	eval-5	with_skill	FAIL	21.5s	3824	2485	1338	5	FAIL	Recommends post-campaign debrief	No mention of post-campaign debrief	5	9	iteration-518
co-marketing	eval-6	with_skill	FAIL	10.3s	3151	2048	1102	1	PASS			6	9	iteration-518
co-marketing	eval-6	with_skill	FAIL	10.3s	3151	2048	1102	2	PASS			6	9	iteration-518
co-marketing	eval-6	with_skill	FAIL	10.3s	3151	2048	1102	3	PASS			6	9	iteration-518
co-marketing	eval-6	with_skill	FAIL	10.3s	3151	2048	1102	4	PASS			6	9	iteration-518
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	10	iteration-519
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	2	PASS			1	10	iteration-519
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	3	PASS			1	10	iteration-519
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap	1	10	iteration-519
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	5	PASS			1	10	iteration-519
co-marketing	eval-1	with_skill	FAIL	14.9s	3492	2269	1222	6	FAIL	Applies scoring criteria	No scoring criteria applied	1	10	iteration-519
co-marketing	eval-2	with_skill	FAIL	14.0s	3456	2246	1209	1	PASS			2	10	iteration-519
co-marketing	eval-2	with_skill	FAIL	14.0s	3456	2246	1209	2	PASS			2	10	iteration-519
co-marketing	eval-2	with_skill	FAIL	14.0s	3456	2246	1209	3	PASS			2	10	iteration-519
co-marketing	eval-2	with_skill	FAIL	14.0s	3456	2246	1209	4	PASS			2	10	iteration-519
co-marketing	eval-2	with_skill	FAIL	14.0s	3456	2246	1209	5	FAIL	Uses brainstorming prompts	Asks clarifying questions, not prompts	2	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	1	PASS			3	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	2	PASS			3	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	3	PASS			3	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	4	PASS			3	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	5	FAIL	Keeps it short and personal	Email is long and includes strategic breakdown.	3	10	iteration-519
co-marketing	eval-3	with_skill	FAIL	9.1s	3128	2033	1094	6	FAIL	Mentions what to prepare for the call	No preparation steps listed for the call.	3	10	iteration-519
co-marketing	eval-4	with_skill	FAIL	16.2s	3548	2306	1241	1	PASS			4	10	iteration-519
co-marketing	eval-4	with_skill	FAIL	16.2s	3548	2306	1241	2	FAIL	Includes all 6 scoring dimensions	Only 3 criteria listed in scorecard	4	10	iteration-519
co-marketing	eval-4	with_skill	FAIL	16.2s	3548	2306	1241	3	FAIL	Weights by goal	No weights or goal scoring provided	4	10	iteration-519
co-marketing	eval-4	with_skill	FAIL	16.2s	3548	2306	1241	4	PASS			4	10	iteration-519
co-marketing	eval-4	with_skill	FAIL	16.2s	3548	2306	1241	5	PASS			4	10	iteration-519
co-marketing	eval-5	with_skill	FAIL	10.1s	2984	1939	1044	1	PASS			5	10	iteration-519
co-marketing	eval-5	with_skill	FAIL	10.1s	2984	1939	1044	2	PASS			5	10	iteration-519
co-marketing	eval-5	with_skill	FAIL	10.1s	2984	1939	1044	3	PASS			5	10	iteration-519
co-marketing	eval-5	with_skill	FAIL	10.1s	2984	1939	1044	4	FAIL	Mentions measuring lead quality not just volume	No mention of lead quality metrics	5	10	iteration-519
co-marketing	eval-5	with_skill	FAIL	10.1s	2984	1939	1044	5	FAIL	Recommends post-campaign debrief	No mention of debrief or review meeting.	5	10	iteration-519
co-marketing	eval-6	with_skill	FAIL	5.1s	2689	1747	941	1	PASS			6	10	iteration-519
co-marketing	eval-6	with_skill	FAIL	5.1s	2689	1747	941	2	PASS			6	10	iteration-519
co-marketing	eval-6	with_skill	FAIL	5.1s	2689	1747	941	3	PASS			6	10	iteration-519
co-marketing	eval-6	with_skill	FAIL	5.1s	2689	1747	941	4	PASS			6	10	iteration-519
